Name,Brand,Release,Version
Samsung Galaxy S8/+,Samsung Electronics,2017/04,Android 7.0 Nougat
Sony Xperia XA1,Sony Mobile,2017/04,Android 7.0 Nougat
Sony Xperia XZs/Premium,Sony Mobile,2017/02,Android 7.0 Nougat
Samsung Galaxy A3 (2017)/A5 (2017)/A7 (2017),Samsung Electronics,2017/01,Android 6.0 Marshmallow
Samsung Galaxy C9 Pro,Samsung Electronics,2016/11,"Android 6.0.1 ""Marshmallow"""
Samsung Galaxy A8 (2016),Samsung Electronics,2016/10,Android 6.0 Marshmallow
Samsung Galaxy Note 7,Samsung Electronics,2016/09,Android 6.0 Marshmallow
Sony Xperia X Compact,Sony Mobile,2016/09,Android 6.0 Marshmallow
Sony Xperia XZ,Sony Mobile,2016/09,Android 6.0 Marshmallow
Sony Xperia XA Ultra,Sony Mobile,2016/07,Android 6.0 Marshmallow
Samsung Galaxy C7,Samsung Electronics,2016/06,Android 6.0 Marshmallow
Sony Xperia XA,Sony Mobile,2016/06,Android 6.0 Marshmallow
Samsung Galaxy A9 Pro (2016),Samsung Electronics,2016/05,Android 6.0 Marshmallow
Samsung Galaxy Xcover 3 G389F,Samsung Electronics,2016/04,Android 6.0 Marshmallow
Samsung Galaxy S7/Edge,Samsung Electronics,2016/03,Android 6.0 Marshmallow
Sony Xperia X/Performance,Sony Mobile,2016/02,Android 6.0 Marshmallow
Samsung Galaxy A9 (2016),Samsung Electronics,2016/01,"Android 5.1 ""Lollipop"""
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016),Samsung Electronics,2015/12,"Android 5.1 ""Lollipop"""
Sony Xperia Z5 Premium,Sony Mobile,2015/11,Android 5.0 Lollipop
Sony Xperia Z5/Compact,Sony Mobile,2015/10,Android 5.0 Lollipop
Samsung Galaxy A8/Duos,Samsung Electronics,2015/08,"Android 5.1 ""Lollipop"""
Samsung Galaxy Note 5,Samsung Electronics,2015/08,"Android 5.1 ""Lollipop"""
Samsung Galaxy S6 Edge+,Samsung Electronics,2015/08,"Android 5.1 ""Lollipop"""
Sony Xperia Z4,Sony Mobile,2015/06,Android 5.0 Lollipop
Samsung Galaxy S6/Edge,Samsung Electronics,2015/04,Android 5.0 Lollipop
Samsung Galaxy Xcover 3,Samsung Electronics,2015/04,Android 4.4 KitKat
Samsung Galaxy E7,Samsung Electronics,2015/02,Android 4.4 KitKat
Samsung Galaxy A7/Duos,Samsung Electronics,2015/02,Android 4.4 KitKat
Samsung Galaxy A5,Samsung Electronics,2014/12,Android 4.4 KitKat
Samsung Galaxy A3/Duos,Samsung Electronics,2014/12,Android 4.4 KitKat
Samsung Galaxy Note Edge,Samsung Electronics,2014/11,Android 4.4 KitKat
Samsung Galaxy A5 Duos,Samsung Electronics,2014/11,Android 4.4 KitKat
Samsung Galaxy Note 4,Samsung Electronics,2014/10,Android 4.4 KitKat
Samsung Galaxy Alpha,Samsung Electronics,2014/09,Android 4.4 KitKat
Samsung Galaxy Grand Prime,Samsung Electronics,2014/09,"Android 4.4 ""KitKat"""
Sony Xperia Z3/Compact,Sony Mobile,2014/09,Android 4.4 KitKat
Sony Xperia Z2,Sony Mobile,2014/05,Android 4.4 KitKat
Samsung Galaxy S5,Samsung Electronics,2014/04,Android 4.4 KitKat
Samsung Galaxy Beam 2,Samsung Electronics,2014/04,"Android 4.2.2 ""Jelly Bean"""
Samsung Galaxy Note 3 Neo,Samsung Electronics,2014/02,"Android 4.3 ""Jelly Bean"""
Sony Xperia Z1 Compact,Sony Mobile,2014/02,Android 4.1 Jelly Bean
Samsung Galaxy Note 3,Samsung Electronics,2013/09,"Android 4.3 ""Jelly Bean"""
Sony Xperia Z Ultra,Sony Mobile,2013/09,Android 4.1 Jelly Bean
Sony Xperia Z1,Sony Mobile,2013/09,Android 4.1 Jelly Bean
Samsung Galaxy S4 Zoom,Samsung Electronics,2013/07,"Android 4.2 ""Jelly Bean"""
Samsung Galaxy S4,Samsung Electronics,2013/04,"Android 4.2 ""Jelly Bean"""
Samsung Galaxy Xcover 2,Samsung Electronics,2013/03,Android 4.1 Jelly Bean
Sony Xperia Z,Sony Mobile,2013/02,Android 4.1 Jelly Bean
Samsung Galaxy Note 2,Samsung Electronics,2012/09,Android 4.0 Ice Cream Sandwich
Samsung Galaxy Beam,Samsung Electronics,2012/07,"Android 2.3.6 ""Gingerbread"""
Samsung Galaxy S3,Samsung Electronics,2012/05,Android 4.0 Ice Cream Sandwich
Samsung Galaxy Y DUOS,Samsung Electronics,2012/02,Android 2.3 Gingerbread
Samsung Galaxy Xcover,Samsung Electronics,2011/10,Android 2.3 Gingerbread
Samsung Galaxy Note,Samsung Electronics,2011/10,Android 2.3 Gingerbread
Sony Ericsson Xperia pro,Sony Ericsson,2011/10,Android 2.3 Gingerbread
Samsung Galaxy S2,Samsung Electronics,2011/04,Android 2.3 Gingerbread
Sony Ericsson Xperia Play,Sony Ericsson,2011/04,Android 2.3 Gingerbread
Samsung Galaxy S1,Samsung Electronics,2010/06,Android 2.0 Eclair
Sony Ericsson Xperia X8,Sony Ericsson,2010/06,"Android 1.6 ""Donut"""
Sony Ericsson Xperia X10,Sony Ericsson,2010/03,"Android 1.6 ""Donut"""
Samsung Galaxy,Samsung Electronics,2009/04,"Android 1.5 ""Cupcake"""
T-Mobile G1,T-Mobile,2008/09,Android 1.0
TCL Plex,TCL,2019/10,Android Pie
TCL 10L,TCL,2020/05,Android 10
TCL 10 Pro,TCL,2020/05,Android 10
TCL 10 SE,TCL,2020/07,Android 10
TCL 10 5G,TCL,2020/07,Android 10
TCL 10 Plus,TCL,2020/09,Android 10
Tecno Phantom 6/Plus,Tecno Mobile,2016/09,Android 6.0 Marshmallow
Tecno Camon CX,Tecno Mobile,2017/03,Android 7.0 Nougat
Tecno Camon CX Air,Tecno Mobile,2017/04,Android 7.0 Nougat
Tecno Spark,Tecno Mobile,2017/05,Android 7.0 Nougat
Tecno Spark Plus,Tecno Mobile,2017/06,Android 7.0 Nougat
Tecno Phantom 8,Tecno Mobile,2017/09,Android 7.0 Nougat
Tecno Spark Pro,Tecno Mobile,2017/10,Android 7.0 Nougat
Tecno Camon CM,Tecno Mobile,2017/12,Android 7.0 Nougat
Tecno Spark CM,Tecno Mobile,2017/12,Android 7.0 Nougat
Tecno Camon X/Pro,Tecno Mobile,2018/03,"Android 8.1 ""Oreo"""
Tecno Spark 2,Tecno Mobile,2018/06,"Android 8.1 ""Oreo"""
Tecno Camon 11/Pro,Tecno Mobile,2018/09,"Android 8.1 ""Oreo"""
Tecno Camon iACE2/2X,Tecno Mobile,2019/02,"Android 8.1 ""Oreo"""
Tecno Spark 3/Pro,Tecno Mobile,2019/04,Android Pie
Tecno Phantom 9,Tecno Mobile,2019/07,Android Pie
Tecno Spark Go,Tecno Mobile,2019/08,Android Pie
Tecno Spark 4/Air/Lite,Tecno Mobile,2016/08,Android Pie
Tecno Camon 12,Tecno Mobile,2019/08,Android Pie
Tecno Camon 12 Pro,Tecno Mobile,2019/09,Android Pie
Tecno Camon 12 Air,Tecno Mobile,2019/10,Android Pie
Tecno Camon 15/Pro,Tecno Mobile,2020/02,Android 10
Tecno Camon 15 Air/Premier,Tecno Mobile,2020/04,Android 10
Tecno Spark 5,Tecno Mobile,2020/05,Android 10
Tecno Spark 5 Air,Tecno Mobile,2020/05,Android 10
Tecno Spark 5 Pro,Tecno Mobile,2020/05,Android 10
Tecno Spark Power 2,Tecno Mobile,2020/06,Android 10
Tecno Pouvoir 4/Pro,Tecno Mobile,2020/07,Android 10
Tecno Camon 16 Premier,Tecno Mobile,2020/09,Android 10
Tecno Spark 6 Air,Tecno Mobile,2020/09,Android 10
Tecno Spark 6,Tecno Mobile,2020/09,Android 10
Tecno Camon 16,Tecno Mobile,2020/10,Android 10
Tecno Pova,Tecno Mobile,2020/10,Android 10
Ubuntu Edge,Canonical,Unreleased,Unknown Android Version
Vivo X1,Vivo,2012/11,Android 4.1 Jelly Bean
Vivo X3,Vivo,2013/08,Android 4.1 Jelly Bean
Vivo X3S,Vivo,2014/12,Android 4.1 Jelly Bean
Vivo X5/Max,Vivo,2014/12,Android 4.4 KitKat
Vivo X5Max+,Vivo,2015/03,Android 4.4 KitKat
Vivo X5Pro,Vivo,2015/05,Android 5.0 Lollipop
Vivo X5Max Platinum,Vivo,2015/06,Android 4.4 KitKat
Vivo V1,Vivo,2015/07,Android 5.0 Lollipop
Vivo V1 Max,Vivo,2015/08,Android 5.0 Lollipop
Vivo X6/Plus,Vivo,2015/11,Android 5.0 Lollipop
Vivo X6S/Plus,Vivo,2016/03,Android 5.0 Lollipop
Vivo V3/Max,Vivo,2016/04,Android 5.0 Lollipop
Vivo X7/Plus,Vivo,2016/07,Android 5.0 Lollipop
Vivo X9/Plus,Vivo,2016/07,Android 6.0 Marshmallow
Vivo V5,Vivo,2016/11,Android 6.0 Marshmallow
Vivo V5 Plus,Vivo,2017/01,Android 6.0 Marshmallow
Vivo V5 Lite/Y66,Vivo,2017/02,Android 6.0 Marshmallow
Vivo V5s,Vivo,2017/05,Android 6.0 Marshmallow
Vivo X9s/Plus,Vivo,2017/07,Android 7.0 Nougat
Vivo V7+,Vivo,2017/09,Android 7.0 Nougat
Vivo X20/Plus,Vivo,2017/09,Android 7.0 Nougat
Vivo V7,Vivo,2017/12,Android 7.0 Nougat
Vivo X20 Plus UD,Vivo,2018/01,Android 7.0 Nougat
Vivo X21/UD,Vivo,2018/03,Android 8.0 Oreo
Vivo V9/Youth,Vivo,2018/04,Android 8.0 Oreo
Vivo X21i,Vivo,2018/05,Android 8.0 Oreo
Vivo NEX,Vivo,2018/06,Android 8.0 Oreo
Vivo V11,Vivo,2018/09,Android 8.0 Oreo
Vivo X23,Vivo,2018/09,Android 8.0 Oreo
Vivo V11i,Vivo,2018/09,Android 8.0 Oreo
Vivo NEX Dual Display,Vivo,2018/12,Android Pie
Vivo V15/Pro,Vivo,2019/03,Android Pie
Vivo X27/Pro,Vivo,2019/03,Android Pie
Vivo V17 Neo,Vivo,2019/08,Android Pie
Vivo NEX 3,Vivo,2019/09,Android Pie
Vivo V17 Pro,Vivo,2019/09,Android Pie
Vivo V17,Vivo,2019/12,Android Pie
Vivo X30/Pro,Vivo,2019/12,Android Pie
Vivo NEX 3S,Vivo,2020/03,Android 10
Vivo V19,Vivo,2020/04,Android 10
Vivo X50 Lite,Vivo,2020/05,Android 10
Vivo X50/Pro/Pro+,Vivo,2020/06,Android 10
Vivo V19 Neo,Vivo,2020/06,Android 10
Vivo V20 Pro,Vivo,2020/09,Android 10
Vivo X50e,Vivo,2020/10,Android 10
Vivo V20 SE,Vivo,2020/10,Android 10
Vivo V20,Vivo,2020/10,Android 11
Vivo X51,Vivo,2020/10,Android 10
Vivo V20 (2021),Vivo,2020/12,Android 11
Vivo X60/Pro/Pro+,Vivo,2021/01,Android 11
Xiaomi Mi 1,Xiaomi,2011/12,Android 2.3 Gingerbread
Xiaomi Mi 1S,Xiaomi,2012/08,Android 4.0 Ice Cream Sandwich
Xiaomi Mi 2,Xiaomi,2012/10,Android 4.1 Jelly Bean
Xiaomi Mi 2S/A,Xiaomi,2013/04,Android 4.1 Jelly Bean
Xiaomi Mi 3/TD,Xiaomi,2013/12,"Android 4.3 ""Jelly Bean"""
Xiaomi Mi 4,Xiaomi,2014/08,Android 4.4 KitKat
Xiaomi Mi Note,Xiaomi,2015/01,Android 4.4 KitKat
Xiaomi Mi Note Pro,Xiaomi,2015/05,Android 5.0 Lollipop
Xiaomi Mi 4i,Xiaomi,2015/04,Android 5.0 Lollipop
Xiaomi Mi 4c,Xiaomi,2015/09,Android 5.0 Lollipop
Xiaomi Mi 4S,Xiaomi,2016/03,Android 5.0 Lollipop
Xiaomi Mi 5,Xiaomi,2016/04,Android 6.0 Marshmallow
Xiaomi Mi Max/Pro,Xiaomi,2016/05,Android 6.0 Marshmallow
Xiaomi Mi 5s/Plus,Xiaomi,2016/10,Android 6.0 Marshmallow
Xiaomi Mi Note 2,Xiaomi,2016/11,Android 6.0 Marshmallow
Xiaomi Mi MIX,Xiaomi,2016/11,Android 6.0 Marshmallow
Xiaomi Mi 5c,Xiaomi,2017/03,Android 6.0 Marshmallow
Xiaomi Mi 6,Xiaomi,2017/04,"Android 7.1 ""Nougat"""
Xiaomi Mi Max 2,Xiaomi,2017/06,"Android 7.1 ""Nougat"""
Xiaomi Mi 5X/Mi A1,Xiaomi,2017/08,"Android 7.1 ""Nougat"""
Xiaomi Mi Note 3,Xiaomi,2017/09,"Android 7.1 ""Nougat"""
Xiaomi Mi MIX 2,Xiaomi,2017/09,"Android 7.1 ""Nougat"""
Xiaomi Mi MIX 2S,Xiaomi,2018/04,"Android 8.1 ""Oreo"""
Xiaomi Mi 6X/Mi A2,Xiaomi,2018/04,"Android 8.1 ""Oreo"""
Xiaomi Black Shark,Xiaomi,2018/04,"Android 8.1 ""Oreo"""
Xiaomi Mi 8/SE/EE,Xiaomi,2018/06,"Android 8.1 ""Oreo"""
Xiaomi Mi Max 3,Xiaomi,2018/07,"Android 8.1 ""Oreo"""
Xiaomi Pocophone F1,Xiaomi,2018/08,"Android 8.1 ""Oreo"""
Xiaomi Mi 8 Pro/Lite,Xiaomi,2018/09,"Android 8.1 ""Oreo"""
Xiaomi Mi MIX 3,Xiaomi,2018/11,Android Pie
Xiaomi Black Shark Helo,Xiaomi,2018/11,Android 8.0 Oreo
Xiaomi Mi Play,Xiaomi,2018/12,Android 8.0 Oreo
Xiaomi Mi 9/SE,Xiaomi,2019/03,Android Pie
Xiaomi Black Shark 2,Xiaomi,2019/03,Android Pie
Xiaomi Mi MIX 3 5G,Xiaomi,2019/05,Android Pie
Xiaomi Mi 9T,Xiaomi,2019/06,Android Pie
Xiaomi Mi A3,Xiaomi,2019/07,Android Pie
Xiaomi Mi 9T Pro,Xiaomi,2019/08,Android Pie
Xiaomi Black Shark 2 Pro,Xiaomi,2019/08,Android Pie
Xiaomi Mi 9 Lite,Xiaomi,2019/09,Android Pie
Xiaomi Mi 9 Pro/Pro 5G,Xiaomi,2019/09,Android 10
Xiaomi Mi Note 10/Pro,Xiaomi,2019/11,Android Pie
POCO X2,Xiaomi,2020/02,Android 10
Xiaomi Mi 10/Pro,Xiaomi,2020/02,Android 10
Xiaomi Black Shark 3/Pro,Xiaomi,2020/03,Android 10
Xiaomi Mi 10 Lite,Xiaomi,2020/05,Android 10
Xiaomi Mi 10 Youth,Xiaomi,2020/05,Android 10
Xiaomi Mi Note 10 Lite,Xiaomi,2020/05,Android 10
POCO M2 Pro,Xiaomi,2020/07,Android 10
Xiaomi Mi 10 Ultra,Xiaomi,2020/08,Android 10
POCO X3 NFC,Xiaomi,2020/09,Android 10
POCO M2,Xiaomi,2020/09,Android 10
POCO X3,Xiaomi,2020/09,Android 10
Xiaomi Mi 10T/Pro/Lite,Xiaomi,2020/10,Android 10
POCO C3,Xiaomi,2020/10,Android 10
POCO M3,Xiaomi,2020/11,Android 10
Xiaomi Mi 11,Xiaomi,2021/01,Android 11
Xiaomi Mi 10i,Xiaomi,2021/01,Android 10
Xiaomi Mi 10S,Xiaomi,2021/03,Android 11
POCO X3 Pro,Xiaomi,2021/03,Android 11
POCO F3,Xiaomi,2021/03,Android 11
Xiaomi Black Shark 4/Pro,Xiaomi,2021/03,Android 11
Xiaomi Mi 11 Pro/Ultra/11i,Xiaomi,2021/04,Android 11
Xiaomi Mi 11 Lite/Lite 5G,Xiaomi,2021/04,Android 11
Xiaomi Mi MIX Fold,Xiaomi,2021/04,Android 11
POCO M2 Reloaded,Xiaomi,2021/04,Android 10
Xiaomi Mi 11X/Pro,Xiaomi,2021/04,Android 11
POCO M3 Pro,Xiaomi,2021/05,Android 11
POCO F3 GT,Xiaomi,2021/07,Android 11
POCO X3 GT,Xiaomi,2021/08,Android 11
Xiaomi MIX 4,Xiaomi,2021/08,Android 11
Xiaomi 11T/Pro,Xiaomi,2021/09,Android 11
Xiaomi 11 Lite 5G NE,Xiaomi,2021/09,Android 11
YotaPhone,Yota,2013/11,Android 4.2.2 Jelly Bean
YotaPhone 2,Yota,2014/12,Android 4.4.3 KitKat
ZTE Racer,ZTE,2010/07,Android 2.0 Eclair
ZTE Blade,ZTE,2010/11,Android 2.0 Eclair
ZTE Libra,ZTE,2011/09,Android 2.0 Eclair
ZTE Racer II,ZTE,2011/09,Android 2.2 Froyo
ZTE Skate,ZTE,2011/09,Android 2.3 Gingerbread
ZTE Score,ZTE,2011/09,Android 2.3 Gingerbread
ZTE Warp,ZTE,2011/10,Android 2.3 Gingerbread
ZTE Avail,ZTE,2011/12,Android 2.3 Gingerbread
ZTE FTV Phone,ZTE,2011/12,Android 2.2 Froyo
ZTE Blade II V880+,ZTE,2012/03,Android 2.3 Gingerbread
ZTE Score M,ZTE,2012/03,Android 2.3 Gingerbread
ZTE V880E,ZTE,2012/05,Android 2.3 Gingerbread
ZTE Kis V788,ZTE,2012/07,Android 2.3 Gingerbread
ZTE Grand X,ZTE,2012/07,Android 4.0 Ice Cream Sandwich
ZTE Grand X IN,ZTE,2012/09,Android 4.0 Ice Cream Sandwich
ZTE Blade III,ZTE,2012/09,Android 4.0 Ice Cream Sandwich
ZTE Grand Era,ZTE,2012/09,Android 4.0 Ice Cream Sandwich
ZTE Warp Sequent,ZTE,2012/09,Android 4.0 Ice Cream Sandwich
ZTE Grand X LTE,ZTE,2012/11,Android 4.0 Ice Cream Sandwich
ZTE Flash,ZTE,2012/11,Android 4.0 Ice Cream Sandwich
ZTE Groove X501,ZTE,2012/11,Android 2.3 Gingerbread
ZTE Kis III V790,ZTE,2012/11,Android 2.3 Gingerbread
ZTE N910,ZTE,2012/12,Android 4.0 Ice Cream Sandwich
ZTE Era,ZTE,2012/12,Android 4.0 Ice Cream Sandwich
ZTE V887,ZTE,2012/12,Android 4.0 Ice Cream Sandwich
ZTE V889M,ZTE,2012/12,Android 4.0 Ice Cream Sandwich
ZTE Avid 4G,ZTE,2012/12,Android 4.0 Ice Cream Sandwich
ZTE Grand S,ZTE,2013/03,Android 4.1 Jelly Bean
ZTE Director,ZTE,2013/03,Android 4.0 Ice Cream Sandwich
ZTE Blade C V807,ZTE,2013/04,Android 4.1 Jelly Bean
ZTE Blade III Pro,ZTE,2013/04,Android 4.1 Jelly Bean
ZTE Blade G V880G,ZTE,2013/04,Android 4.1 Jelly Bean
ZTE Blade G2,ZTE,2013/07,Android 4.1 Jelly Bean
ZTE Blade V,ZTE,2013/09,Android 4.1 Jelly Bean
ZTE Blade Q/Maxi/Mini,ZTE,2013/10,Android 4.1 Jelly Bean
ZTE Blade L2,ZTE,2014/05,Android 4.1 Jelly Bean
ZTE Blade Vec 3G/4G,ZTE,2014/11,Android 4.4 KitKat
ZTE Blade S6,ZTE,2015/02,Android 5.0 Lollipop
ZTE Blade G/Lux,ZTE,2015/02,Android 4.4 KitKat
ZTE Blade L3,ZTE,2015/02,Android 5.0 Lollipop
ZTE Blade L3 Plus,ZTE,2015/03,Android 4.4 KitKat
ZTE Blade S6 Plus,ZTE,2015/04,Android 5.0 Lollipop
ZTE Blade Qlux 4G,ZTE,2015/06,Android 4.4 KitKat
ZTE Blade Q Pro,ZTE,2015/06,Android 5.0 Lollipop
ZTE Blade Apex 3,ZTE,2015/06,Android 4.4 KitKat
ZTE Blade A410,ZTE,2015/06,Android 5.0 Lollipop
ZTE Blade A460,ZTE,2015/06,Android 5.0 Lollipop
ZTE Axon Pro/Lux,ZTE,2015/07,Android 5.0 Lollipop
ZTE Blade D6,ZTE,2015/07,Android 5.0 Lollipop
ZTE Axon Elite,ZTE,2015/09,Android 5.0 Lollipop
ZTE Axon mini,ZTE,2015/10,Android 5.0 Lollipop
ZTE Blade S7,ZTE,2015/10,Android 5.0 Lollipop
ZTE Axon,ZTE,2015/10,Android 5.0 Lollipop
ZTE Blade X3/5/9,ZTE,2015/11,Android 5.0 Lollipop
ZTE Axon Max,ZTE,2015/12,Android 5.0 Lollipop
ZTE Blade V7/Lite,ZTE,2016/02,Android 5.0 Lollipop
ZTE Axon 7,ZTE,2016/05,Android 6.0 Marshmallow
ZTE Axon 7 mini,ZTE,2016/09,Android 6.0 Marshmallow
ZTE Axon 7 Max,ZTE,2016/10,Android 6.0 Marshmallow
ZTE Axon 7s,ZTE,2017/04,Android 7.0 Nougat
ZTE Maven 2,ZTE,2017/07,Android 6.0 Marshmallow
ZTE Blade A6,ZTE,2017/08,Android 7.0 Nougat
ZTE Axon M,ZTE,2017/10,Android 7.0 Nougat
ZTE Blade X,ZTE,2017/10,Android 7.0 Nougat
ZTE Blade A3,ZTE,2017/11,Android 7.0 Nougat
ZTE Tempo Go,ZTE,2018/02,Android 8.0 Oreo
ZTE Blade V9/Vita,ZTE,2018/02,Android 8.0 Oreo
ZTE Axon 9 Pro,ZTE,2018/08,Android 8.0 Oreo
ZTE Blade A7 Vita,ZTE,2018/12,Android 8.0 Oreo
ZTE Blade V10/Vita,ZTE,2019/02,Android Pie
ZTE Axon 10 Pro/5G,ZTE,2019/02,Android Pie
ZTE Blade L8,ZTE,2019/04,Android Pie
ZTE Blade A3 (2019),ZTE,2019/04,Android Pie
ZTE Blade A7,ZTE,2019/05,Android Pie
ZTE Blade A5 (2019),ZTE,2019/05,Android Pie
ZTE Blade A20,ZTE,2019/10,Android Pie
ZTE Blade 10 Prime,ZTE,2019/11,Android Pie
ZTE Blade A7 Prime,ZTE,2019/11,Android Pie
ZTE Blade Max View,ZTE,2019/11,Android 7.0 Nougat
ZTE Axon 10s Pro 5G,ZTE,2020/02,Android 10
ZTE Axon 11 4G/5G,ZTE,2020/03,Android 10
ZTE Blade V 2020,ZTE,2020/05,Android 10
ZTE Axon 11 SE 5G,ZTE,2020/06,Android 10
ZTE Axon 20 5G,ZTE,2020/09,Android 10
ZTE Blade A7s 2020,ZTE,2020/09,Android 10
ZTE Blade 20 5G,ZTE,2020/09,Android 10
ZTE Axon 20 4G,ZTE,2020/09,Android 10
ZTE S30/Pro/SE,ZTE,2021/04,Android 11
ZTE Axon 30 Pro/Ultra,ZTE,2021/04,Android 11
ZTE Blade 11 Prime,ZTE,2021/04,Android 10
ZTE Blade A51,ZTE,2021/05,Android 11
ZTE Blade A31,ZTE,2021/07,Android 11
ZTE Axon 30,ZTE,2021/08,Android 11
ZTE Blade A71,ZTE,2021/10,Android 11
ZTE Blade L9,ZTE,2021/10,Android 11
ZTE Blade A31 Plus,ZTE,2021/10,Android 11
ZTE Voyage 20 Pro,ZTE,2021/08,Android 11
